Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
Hey You,Disturbed,07.23.22,1,3 WKS,09.03.22
Unstoppable,Disturbed,05.06.23,1,2 WKS,08.19.23
Bad Man,Disturbed,11.26.22,2,12 Wks,03.04.23
Don't Tell Me,Disturbed Featuring Ann Wilson,11.18.23,3,12 Wks,03.02.24
The Game,Disturbed,02.02.02,34,12 Wks,03.09.02
Free Fallin',Tom Petty,05.06.89,1,1 WKS,08.26.89
Mary Jane's Last Dance,Tom Petty And The Heartbreakers,11.06.93,1,2 WKS,11.20.93
You Wreck Me,Tom Petty,12.10.94,2,12 Wks,02.25.95
A Woman In Love (It's Not Me),Tom Petty And The Heartbreakers,05.16.81,5,12 Wks,07.18.81
Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,08.01.81,2,12 Wks,08.29.81
The Waiting,Tom Petty And The Heartbreakers,05.02.81,1,6 WKS,05.09.81
You Don't Know How It Feels,Tom Petty,11.05.94,1,1 WKS,12.31.94
Runnin' Down A Dream,Tom Petty,05.06.89,1,1 WKS,06.24.89
