Decade,Song,Artist,Weeks at Number One,Date,Song of the Year
1990,Texas Twister,Little Feat,1,1990-05-12,False
1990,Doubleback,ZZ Top,5,1990-05-19,False
1990,Cradle of Love,Billy Idol,2,1990-06-23,False
1990,Holy Water,Bad Company,2,1990-07-07,False
1990,Across the River,Bruce Hornsby and the Range,1,1990-07-21,False
1990,The Other Side,Aerosmith,2,1990-07-28,False
1990,Good Clean Fun,Allman Brothers Band,1,1990-08-11,False
1990,Brickyard Road,Johnny Van Zant,3,1990-08-18,False
1990,Blaze of Glory,Jon Bon Jovi,1,1990-09-08,False
1990,Suicide Blonde,INXS,4,1990-09-15,False
1990,Concrete and Steel,ZZ Top,4,1990-10-13,False
1990,Hard to Handle,The Black Crowes,2,1990-11-10,False
1990,One and Only Man,Steve Winwood,2,1990-11-24,False
1990,My Head's in Mississippi,ZZ Top,6,1990-12-08,False
1990,All This Time,Sting,7,1991-01-19,False
1990,She Talks to Angels,The Black Crowes,1,1991-03-09,False
1990,Highwire,The Rolling Stones,3,1991-03-16,False
1990,Silent Lucidity,Queensrÿche,1,1991-04-06,True
1990,Losing My Religion,R.E.M.,3,1991-04-13,False
1990,Lift Me Up,Yes,6,1991-05-04,False
1990,Poundcake,Van Halen,2,1991-06-15,False
1990,Learning to Fly,Tom Petty and the Heartbreakers,6,1991-06-29,False
1990,Runaround,Van Halen,4,1991-08-10,False
1990,Out in the Cold,Tom Petty and the Heartbreakers,2,1991-09-07,False
1990,Dreamline,Rush,4,1991-09-21,False
1990,Get a Leg Up,John Mellencamp,1,1991-10-19,False
1990,Top of the World,Van Halen,3,1991-10-26,False
1990,Get a Leg Up,John Mellencamp,1,1991-11-16,False
1990,Top of the World,Van Halen,1,1991-11-23,False
1990,Get a Leg Up,John Mellencamp,1,1991-11-30,False
1990,Heavy Fuel,Dire Straits,1,1991-12-07,False
1990,Mysterious Ways ,U2,12,1991-12-14,True
1990,Again Tonight,John Mellencamp,2,1992-03-07,False
1990,Human Touch,Bruce Springsteen,3,1992-03-21,False
1990,Let's Get Rocked,Def Leppard,1,1992-04-11,False
1990,One,U2,2,1992-04-18,False
1990,Remedy,The Black Crowes,11,1992-05-02,False
1990,Sting Me,The Black Crowes,2,1992-07-18,False
1990,Even Better Than the Real Thing,U2,3,1992-08-01,False
1990,Thorn in My Pride,The Black Crowes,4,1992-08-22,False
1990,How About That,Bad Company,6,1992-09-19,False
1990,Digging in the Dirt,Peter Gabriel,1,1992-10-31,False
1990,Rest in Peace,Extreme,2,1992-11-07,False
1990,Keep the Faith,Bon Jovi,1,1992-11-21,False
1990,Hotel Illness,The Black Crowes,6,1992-11-28,False
1990,Stand Up ,Def Leppard,5,1993-01-09,False
1990,Don't Tear Me Up,Mick Jagger,1,1993-02-13,False
1990,Won't Get Fooled Again,Van Halen,1,1993-02-20,False
1990,Pride and Joy,Coverdale and Page,6,1993-02-27,False
1990,Livin' on the Edge,Aerosmith,9,1993-04-10,False
1990,Are You Gonna Go My Way,Lenny Kravitz,2,1993-06-12,False
1990,Plush,Stone Temple Pilots,1,1993-06-26,True
1990,Big Gun,AC/DC,2,1993-07-03,False
1990,Cryin',Aerosmith,6,1993-07-17,False
1990,What If I Came Knocking,John Mellencamp,2,1993-08-28,False
1990,Peace Pipe,Cry of Love,4,1993-09-11,False
1990,No Rain,Blind Melon,2,1993-10-09,False
1990,Stick It Out,Rush,4,1993-10-23,False
1990,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,2,1993-11-20,False
1990,Daughter,Pearl Jam,8,1993-12-04,False
1990,Pincushion,ZZ Top,4,1994-01-29,False
1990,Deuces Are Wild,Aerosmith,4,1994-02-26,False
1990,No Excuses,Alice in Chains,2,1994-03-26,False
1990,Keep Talking,Pink Floyd,6,1994-04-09,False
1990,Shine,Collective Soul,8,1994-05-21,True
