Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date,Scraped Band
You Belong To The City,Glenn Frey,09.21.85,1,3 WKS,10.19.85,Glenn-Frey
"Part Of Me, Part Of You",Glenn Frey,04.27.91,9,12 Wks,06.01.91,Glenn-Frey
True Love,Glenn Frey,08.20.88,15,12 Wks,09.17.88,Glenn-Frey
I FOUND SOMEBODY,Glenn Frey,07.17.82,57,12 Wks,07.24.82,Glenn-Frey
DON't GIVE UP,Glenn Frey,10.09.82,25,12 Wks,10.09.82,Glenn-Frey
Don't You (Forget About Me),Simple Minds,02.23.85,1,3 WKS,04.20.85,Simple-Minds
Alive & Kicking,Simple Minds,10.19.85,2,12 Wks,12.07.85,Simple-Minds
All The Things She Said,Simple Minds,03.22.86,9,12 Wks,05.03.86,Simple-Minds
Sanctify Yourself,Simple Minds,12.28.85,3,12 Wks,02.15.86,Simple-Minds
See The Lights,Simple Minds,03.23.91,10,12 Wks,04.27.91,Simple-Minds
She's A River,Simple Minds,01.28.95,6,12 Wks,03.04.95,Simple-Minds
Stand By Love,Simple Minds,06.29.91,42,12 Wks,07.13.91,Simple-Minds
This Is Your Land,Simple Minds,05.13.89,37,12 Wks,05.20.89,Simple-Minds
And The Band Played On,Simple Minds,05.27.95,40,12 Wks,05.27.95,Simple-Minds
Yellow,SCANDAL,03.26.16,9,12 Wks,03.26.16,Scandal
Koisuru Universe (EP),SCANDAL,11.11.17,13,12 Wks,11.11.17,Scandal
Honey,SCANDAL,02.24.18,5,12 Wks,02.24.18,Scandal
Hero,Chad Kroeger Featuring Josey Scott,05.04.02,1,2 WKS,06.15.02,Chad-Kroeger
BURNING DOWN ONE SIDE,Robert Plant,07.10.82,3,12 Wks,08.14.82,Robert-Plant
IN THE MOOD,Robert Plant,07.30.83,4,12 Wks,10.01.83,Robert-Plant
BIG LOG,Robert Plant,07.23.83,6,12 Wks,10.08.83,Robert-Plant
Ship Of Fools,Robert Plant,03.05.88,3,12 Wks,06.11.88,Robert-Plant
OTHER ARMS,Robert Plant,07.23.83,1,1 WKS,08.13.83,Robert-Plant
Shine It All Around,Robert Plant And The Strange Sensation,03.26.05,18,12 Wks,05.07.05,Robert-Plant
29 Palms,Robert Plant,06.26.93,4,12 Wks,07.31.93,Robert-Plant
Shining In The Light,Jimmy Page & Robert Plant,05.30.98,6,12 Wks,07.25.98,Robert-Plant
FAR POST,Robert Plant,10.30.82,12,12 Wks,01.22.83,Robert-Plant
WORSE THAN DETROIT,Robert Plant,07.10.82,10,12 Wks,09.18.82,Robert-Plant
Tie Dye On The Highway,Robert Plant,03.31.90,6,12 Wks,05.19.90,Robert-Plant
Tall Cool One,Robert Plant,03.05.88,1,4 WKS,04.09.88,Robert-Plant
Thank You,Jimmy Page & Robert Plant,12.17.94,8,12 Wks,02.04.95,Robert-Plant
Gallows Pole,Jimmy Page & Robert Plant,10.22.94,2,12 Wks,10.29.94,Robert-Plant
PLEDGE PIN,Robert Plant,07.17.82,11,12 Wks,08.14.82,Robert-Plant
Little By Little,Robert Plant,05.18.85,1,2 WKS,06.01.85,Robert-Plant
Sixes And Sevens,Robert Plant,06.08.85,18,12 Wks,07.06.85,Robert-Plant
Most High,Jimmy Page & Robert Plant,04.18.98,1,2 WKS,05.09.98,Robert-Plant
Your Ma Said You Cried In Your ...,Robert Plant,06.09.90,8,12 Wks,07.14.90,Robert-Plant
Hurting Kind,Robert Plant,03.17.90,1,6 WKS,03.24.90,Robert-Plant
Dance On My Own,Robert Plant,06.25.88,10,12 Wks,08.13.88,Robert-Plant
Heaven Knows,Robert Plant,02.13.88,1,6 WKS,02.20.88,Robert-Plant
"Darkness, Darkness",Robert Plant,06.22.02,27,12 Wks,08.03.02,Robert-Plant
Calling To You,Robert Plant,05.15.93,3,12 Wks,05.22.93,Robert-Plant
I Believe,Robert Plant,10.09.93,9,12 Wks,10.30.93,Robert-Plant
Little Sister,Rockpile With Robert Plant,04.18.81,8,12 Wks,05.16.81,Robert-Plant
I Cried,Robert Plant,04.07.90,39,12 Wks,04.21.90,Robert-Plant
Walking Towards Paradise,Robert Plant,12.24.88,39,12 Wks,01.14.89,Robert-Plant
Big Love,Robert Plant,04.07.90,35,12 Wks,04.14.90,Robert-Plant
SLOW DANCER,Robert Plant,07.17.82,19,12 Wks,07.31.82,Robert-Plant
The Way I Feel,Robert Plant,11.12.88,46,12 Wks,11.19.88,Robert-Plant
SSS & Q,Robert Plant,08.18.90,47,12 Wks,08.25.90,Robert-Plant
HORIZONTAL DEPARTURE,Robert Plant,10.15.83,44,12 Wks,10.15.83,Robert-Plant
Keep Talking,Pink Floyd,04.02.94,1,6 WKS,04.09.94,Pink-Floyd
On The Turning Away,Pink Floyd,09.26.87,1,1 WKS,01.16.88,Pink-Floyd
Take It Back,Pink Floyd,04.16.94,4,12 Wks,06.25.94,Pink-Floyd
What Do You Want From Me,Pink Floyd,04.16.94,16,12 Wks,05.07.94,Pink-Floyd
NOT NOW JOHN,Pink Floyd,04.02.83,7,12 Wks,05.07.83,Pink-Floyd
One Slip,Pink Floyd,09.26.87,5,12 Wks,10.31.87,Pink-Floyd
High Hopes,Pink Floyd,08.27.94,7,12 Wks,10.08.94,Pink-Floyd
Learning To Fly,Pink Floyd,09.05.87,1,3 WKS,09.26.87,Pink-Floyd
Dogs Of War,Pink Floyd,09.26.87,30,12 Wks,06.04.88,Pink-Floyd
Lost For Words,Pink Floyd,12.03.94,21,12 Wks,01.07.95,Pink-Floyd
THE HERO's RETURN,Pink Floyd,04.30.83,31,12 Wks,04.30.83,Pink-Floyd
YOUR POSSIBLE PASTS,Pink Floyd,04.02.83,8,12 Wks,04.09.83,Pink-Floyd
What Do You Want From Me (Live),Pink Floyd,06.17.95,13,12 Wks,07.15.95,Pink-Floyd
Money,Pink Floyd,12.12.81,37,12 Wks,01.16.82,Pink-Floyd
Young Lust (Live),Pink Floyd,04.08.00,15,12 Wks,04.22.00,Pink-Floyd
Comfortably Numb,Pink Floyd,12.03.88,24,12 Wks,12.17.88,Pink-Floyd
Sorrow,Pink Floyd,03.05.88,36,12 Wks,03.12.88,Pink-Floyd
Time,Pink Floyd,12.10.88,34,12 Wks,12.24.88,Pink-Floyd
Another Brick In The Wall (Part II),Pink Floyd,12.10.88,42,12 Wks,12.17.88,Pink-Floyd
Learning To Fly,Pink Floyd,12.17.88,45,12 Wks,12.17.88,Pink-Floyd
Land Of Confusion,Genesis,06.28.86,11,12 Wks,11.22.86,Genesis
I Can't Dance,Genesis,12.07.91,2,12 Wks,02.08.92,Genesis
Abacab,Genesis,10.17.81,4,12 Wks,12.12.81,Genesis
IT's GONNA GET BETTER,Genesis,10.08.83,16,12 Wks,10.22.83,Genesis
JUST A JOB TO DO,Genesis,10.29.83,10,12 Wks,11.12.83,Genesis
Jesus He Knows Me,Genesis,12.21.91,24,12 Wks,04.04.92,Genesis
In Too Deep,Genesis,07.05.86,25,12 Wks,05.30.87,Genesis
Throwing It All Away,Genesis,06.21.86,1,3 WKS,08.23.86,Genesis
THAT's ALL,Genesis,11.05.83,2,12 Wks,01.21.84,Genesis
No Reply At All,Genesis,09.26.81,2,12 Wks,11.21.81,Genesis
ILLEGAL ALIEN,Genesis,11.05.83,21,12 Wks,02.25.84,Genesis
PAPERLATE,Genesis,06.12.82,2,12 Wks,07.17.82,Genesis
No Son Of Mine,Genesis,11.02.91,3,12 Wks,11.09.91,Genesis
"Tonight, Tonight, Tonight",Genesis,07.26.86,9,12 Wks,02.21.87,Genesis
MAMA,Genesis,09.17.83,5,12 Wks,10.08.83,Genesis
Invisible Touch,Genesis,05.31.86,1,3 WKS,06.14.86,Genesis
HOME BY THE SEA,Genesis,11.05.83,24,12 Wks,02.04.84,Genesis
The Last Domino,Genesis,06.21.86,29,12 Wks,06.28.86,Genesis
Driving The Last Spike,Genesis,06.13.92,25,12 Wks,07.18.92,Genesis
Man On The Corner,Genesis,03.27.82,14,12 Wks,05.01.82,Genesis
Congo,Genesis,08.23.97,25,12 Wks,09.06.97,Genesis
YOU MIGHT RECALL,Genesis,07.03.82,40,12 Wks,10.23.82,Genesis
TAKING IT ALL TOO HARD,Genesis,02.25.84,41,12 Wks,03.03.84,Genesis
Anything She Does,Genesis,06.28.86,40,12 Wks,07.12.86,Genesis
Beds Are Burning,Midnight Oil,02.20.88,6,12 Wks,05.07.88,Midnight-Oil
The Dead Heart,Midnight Oil,06.04.88,11,12 Wks,07.30.88,Midnight-Oil
Blue Sky Mine,Midnight Oil,02.17.90,1,1 WKS,03.17.90,Midnight-Oil
Forgotten Years,Midnight Oil,04.21.90,11,12 Wks,06.09.90,Midnight-Oil
Truganini,Midnight Oil,04.24.93,10,12 Wks,05.29.93,Midnight-Oil
King Of The Mountain,Midnight Oil,07.21.90,20,12 Wks,08.11.90,Midnight-Oil
Dreamworld,Midnight Oil,10.15.88,37,12 Wks,11.05.88,Midnight-Oil
Blaze Of Glory,Jon Bon Jovi,07.21.90,1,1 WKS,09.08.90,Jon-Bon-Jovi
"Miracle (From ""Young Guns II"")",Jon Bon Jovi,10.06.90,20,12 Wks,11.10.90,Jon-Bon-Jovi
Levon,Jon Bon Jovi,01.04.92,27,12 Wks,01.25.92,Jon-Bon-Jovi
Hell In A Bucket,Grateful Dead,07.25.87,3,12 Wks,09.05.87,Grateful-Dead
Touch Of Grey,Grateful Dead,07.04.87,1,3 WKS,08.01.87,Grateful-Dead
Throwing Stones (Ashes Ashes),Grateful Dead,12.05.87,15,12 Wks,01.09.88,Grateful-Dead
Foolish Heart,Grateful Dead,10.28.89,8,12 Wks,12.02.89,Grateful-Dead
Just A Little Light,Grateful Dead,01.13.90,41,12 Wks,02.03.90,Grateful-Dead
When Push Comes To Shove,Grateful Dead,08.15.87,45,12 Wks,08.15.87,Grateful-Dead
West LA Fadeaway,Grateful Dead,08.08.87,40,12 Wks,08.22.87,Grateful-Dead
Dire Wolf,Grateful Dead,05.02.81,37,12 Wks,05.09.81,Grateful-Dead
Ripple,Grateful Dead,04.18.81,50,12 Wks,04.25.81,Grateful-Dead
In The Air Tonight,Phil Collins,03.21.81,2,12 Wks,05.30.81,Phil-Collins
Inside Out,Phil Collins,03.30.85,9,12 Wks,04.27.85,Phil-Collins
I Wish It Would Rain Down,Phil Collins,12.30.89,5,12 Wks,02.10.90,Phil-Collins
I Missed Again,Phil Collins,03.21.81,8,12 Wks,05.02.81,Phil-Collins
YOU CAN't HURRY LOVE,Phil Collins,11.13.82,24,12 Wks,11.13.82,Phil-Collins
Against All Odds (Take A Look At Me Now),Phil Collins,02.25.84,1,1 WKS,04.07.84,Phil-Collins
One More Night,Phil Collins,02.09.85,4,12 Wks,03.09.85,Phil-Collins
Easy Lover,Philip Bailey With Phil Collins,12.01.84,5,12 Wks,01.19.85,Phil-Collins
I Don't Care Anymore,Phil Collins,12.04.82,3,12 Wks,12.18.82,Phil-Collins
Another Day In Paradise,Phil Collins,11.04.89,7,12 Wks,12.02.89,Phil-Collins
Sussudio,Phil Collins,05.04.85,10,12 Wks,06.01.85,Phil-Collins
LIKE CHINA,Phil Collins,12.04.82,17,12 Wks,12.18.82,Phil-Collins
Take Me Home,Phil Collins,03.15.86,12,12 Wks,04.05.86,Phil-Collins
Don't Lose My Number,Phil Collins,04.06.85,33,12 Wks,04.20.85,Phil-Collins
THROUGH THESE WALLS,Phil Collins,03.19.83,34,12 Wks,03.26.83,Phil-Collins
Something Happened On The Way To Heaven,Phil Collins,08.11.90,34,12 Wks,09.08.90,Phil-Collins
Both Sides Of The Story,Phil Collins,11.06.93,24,12 Wks,11.20.93,Phil-Collins
The Man With The Horn,Phil Collins,02.23.85,38,12 Wks,03.02.85,Phil-Collins
I Don't Want To Know,Phil Collins,04.13.85,42,12 Wks,04.13.85,Phil-Collins
"DO YOU KNOW, DO YOU CARE",Phil Collins,11.06.82,41,12 Wks,11.06.82,Phil-Collins
Do You Remember?,Phil Collins,05.19.90,49,12 Wks,05.19.90,Phil-Collins
Behind The Lines,Phil Collins,04.04.81,58,12 Wks,04.04.81,Phil-Collins
1979,The Smashing Pumpkins,12.09.95,1,2 WKS,03.02.96,The-Smashing-Pumpkins
Bullet With Butterfly Wings,The Smashing Pumpkins,10.21.95,4,12 Wks,12.09.95,The-Smashing-Pumpkins
Disarm,The Smashing Pumpkins,03.19.94,5,12 Wks,06.04.94,The-Smashing-Pumpkins
Beguiled,The Smashing Pumpkins,10.08.22,7,12 Wks,01.21.23,The-Smashing-Pumpkins
Tarantula,The Smashing Pumpkins,06.09.07,6,12 Wks,07.28.07,The-Smashing-Pumpkins
"Tonight, Tonight",The Smashing Pumpkins,06.15.96,4,12 Wks,08.03.96,The-Smashing-Pumpkins
Muzzle,The Smashing Pumpkins,10.05.96,10,12 Wks,11.30.96,The-Smashing-Pumpkins
Zero,The Smashing Pumpkins,03.16.96,15,12 Wks,05.18.96,The-Smashing-Pumpkins
Ava Adore,The Smashing Pumpkins,05.23.98,8,12 Wks,07.11.98,The-Smashing-Pumpkins
Stand Inside Your Love,The Smashing Pumpkins,03.04.00,11,12 Wks,04.08.00,The-Smashing-Pumpkins
Cherub Rock,The Smashing Pumpkins,08.28.93,23,12 Wks,10.09.93,The-Smashing-Pumpkins
Empires,The Smashing Pumpkins,05.20.23,24,12 Wks,07.01.23,The-Smashing-Pumpkins
G.L.O.W.,The Smashing Pumpkins,10.18.08,25,12 Wks,11.29.08,The-Smashing-Pumpkins
The End Is The Beginning Is The End,The Smashing Pumpkins,06.07.97,12,12 Wks,06.28.97,The-Smashing-Pumpkins
The Everlasting Gaze,The Smashing Pumpkins,01.01.00,14,12 Wks,01.29.00,The-Smashing-Pumpkins
Thirty-Three,The Smashing Pumpkins,02.01.97,18,12 Wks,02.22.97,The-Smashing-Pumpkins
Solara,Smashing Pumpkins,06.30.18,26,12 Wks,07.28.18,The-Smashing-Pumpkins
One And All,The Smashing Pumpkins,12.06.14,34,12 Wks,12.06.14,The-Smashing-Pumpkins
Rocket,The Smashing Pumpkins,07.16.94,28,12 Wks,08.20.94,The-Smashing-Pumpkins
Today,The Smashing Pumpkins,01.22.94,28,12 Wks,02.05.94,The-Smashing-Pumpkins
That's The Way (My Love Is),The Smashing Pumpkins,10.06.07,32,12 Wks,10.27.07,The-Smashing-Pumpkins
Perfect,The Smashing Pumpkins,08.29.98,33,12 Wks,09.19.98,The-Smashing-Pumpkins
I'll Be You,The Replacements,02.04.89,1,3 WKS,03.25.89,The-Replacements
Back To Back,The Replacements,05.20.89,43,12 Wks,06.03.89,The-Replacements
Achin' To Be,The Replacements,08.05.89,37,12 Wks,08.26.89,The-Replacements
Wind Of Change,Scorpions,04.06.91,2,12 Wks,06.01.91,Scorpions
Send Me An Angel,Scorpions,08.31.91,8,12 Wks,10.19.91,Scorpions
Rock You Like A Hurricane,Scorpions,03.03.84,5,12 Wks,03.17.84,Scorpions
NO ONE LIKE YOU,Scorpions,04.03.82,1,1 WKS,05.29.82,Scorpions
I Can't Explain,Scorpions,11.18.89,5,12 Wks,01.20.90,Scorpions
"Tease Me, Please Me",Scorpions,11.03.90,8,12 Wks,11.17.90,Scorpions
Rhythm Of Love,Scorpions,04.16.88,6,12 Wks,06.04.88,Scorpions
Believe In Love,Scorpions,07.02.88,12,12 Wks,08.20.88,Scorpions
Don't Believe Her,Scorpions,01.19.91,13,12 Wks,02.23.91,Scorpions
Still Loving You,Scorpions,06.30.84,36,12 Wks,08.11.84,Scorpions
Mysterious,Scorpions,07.10.99,26,12 Wks,08.21.99,Scorpions
Alien Nation,Scorpions,09.11.93,10,12 Wks,09.25.93,Scorpions
Woman,Scorpions,11.27.93,15,12 Wks,12.25.93,Scorpions
Big City Nights,Scorpions,04.14.84,14,12 Wks,05.19.84,Scorpions
Under The Same Sun,Scorpions,01.29.94,16,12 Wks,02.19.94,Scorpions
Wild Child,Scorpions,05.25.96,19,12 Wks,06.22.96,Scorpions
"Hit Between The Eyes (From ""Freejack"")",Scorpions,01.25.92,24,12 Wks,02.08.92,Scorpions
CAN't LIVE WITHOUT YOU,Scorpions,06.19.82,47,12 Wks,06.19.82,Scorpions
I'm Leaving You,Scorpions,06.23.84,56,12 Wks,06.30.84,Scorpions
Don't Stop Believin',Journey,08.15.81,8,12 Wks,09.26.81,Journey
Separate Ways (Worlds Apart),Journey,02.05.83,1,4 WKS,02.19.83,Journey
Who's Crying Now,Journey,08.01.81,4,12 Wks,08.15.81,Journey
Stone In Love,Journey,08.01.81,13,12 Wks,08.29.81,Journey
Girl Can't Help It,Journey,05.10.86,9,12 Wks,05.24.86,Journey
Only The Young,Journey,01.26.85,3,12 Wks,02.09.85,Journey
Ask The Lonely,Journey,12.03.83,3,12 Wks,01.21.84,Journey
Message Of Love,Journey,10.05.96,18,12 Wks,10.19.96,Journey
Open Arms,Journey,01.16.82,35,12 Wks,01.30.82,Journey
The Party's Over (Hopelessly In Love),Journey,03.21.81,2,12 Wks,04.04.81,Journey
Suzanne,Journey,06.14.86,11,12 Wks,07.05.86,Journey
Be Good To Yourself,Journey,04.12.86,2,12 Wks,05.03.86,Journey
I'll Be Alright Without You,Journey,01.10.87,26,12 Wks,01.24.87,Journey
Can't Tame The Lion,Journey,02.08.97,33,12 Wks,02.22.97,Journey
Raised On Radio,Journey,05.10.86,27,12 Wks,05.17.86,Journey
Natural Thing,Journey,01.02.93,32,12 Wks,01.23.93,Journey
ONLY SOLUTIONS,Journey,08.14.82,22,12 Wks,08.28.82,Journey
AFTER THE FALL,Journey,02.26.83,30,12 Wks,02.26.83,Journey
STILL THEY RIDE,Journey,07.03.82,47,12 Wks,07.03.82,Journey
Dixie Highway,Journey,03.21.81,30,12 Wks,03.21.81,Journey
Reapers,Muse,12.12.15,2,12 Wks,04.02.16,Muse
Thought Contagion,Muse,03.03.18,9,12 Wks,06.16.18,Muse
Uprising,Muse,12.19.09,28,12 Wks,03.20.10,Muse
Dead Inside,Muse,04.11.15,10,12 Wks,06.27.15,Muse
Won't Stand Down,Muse,01.22.22,1,1 WKS,05.07.22,Muse
Pressure,Muse,11.17.18,19,12 Wks,02.02.19,Muse
Dig Down,Muse,06.10.17,27,12 Wks,08.05.17,Muse
Kill Or Be Killed,Muse,02.25.23,14,12 Wks,05.06.23,Muse
Will Of The People,Muse,09.03.22,23,12 Wks,10.15.22,Muse
Psycho,Muse,05.02.15,29,12 Wks,07.04.15,Muse
Madness,Muse,01.12.13,34,12 Wks,02.02.13,Muse
Mercy,Muse,08.29.15,23,12 Wks,10.03.15,Muse
Panic Station,Muse,05.18.13,40,12 Wks,05.18.13,Muse
Hurts So Good,John Cougar,05.01.82,1,1 WKS,06.19.82,John-Cougar
Crumblin' Down,John Cougar Mellencamp,10.15.83,2,12 Wks,12.03.83,John-Cougar
The Authority Song,John Cougar Mellencamp,02.18.84,15,12 Wks,05.12.84,John-Cougar
Jack & Diane,John Cougar,06.26.82,3,12 Wks,09.11.82,John-Cougar
Thundering Hearts,John Cougar,09.25.82,36,12 Wks,09.25.82,John-Cougar
Serious Business,John Cougar Mellencamp,01.28.84,34,12 Wks,01.28.84,John-Cougar
Ain't Even Done With The Night,John Cougar,03.21.81,44,12 Wks,03.28.81,John-Cougar
867-5309/JENNY,Tommy Tutone,11.28.81,1,3 WKS,04.03.82,Tommy-Tutone
Name,Goo Goo Dolls,09.09.95,1,5 WKS,11.04.95,Goo-Goo-Dolls
Iris,Goo Goo Dolls,05.02.98,8,12 Wks,08.15.98,Goo-Goo-Dolls
Slide,Goo Goo Dolls,09.26.98,4,12 Wks,12.19.98,Goo-Goo-Dolls
Long Way Down,Goo Goo Dolls,06.01.96,7,12 Wks,07.27.96,Goo-Goo-Dolls
Naked,Goo Goo Dolls,01.27.96,8,12 Wks,03.23.96,Goo-Goo-Dolls
Lazy Eye,Goo Goo Dolls,07.26.97,9,12 Wks,09.13.97,Goo-Goo-Dolls
Dizzy,Goo Goo Dolls,03.06.99,13,12 Wks,05.08.99,Goo-Goo-Dolls
Only One,Goo Goo Dolls,04.08.95,21,12 Wks,05.27.95,Goo-Goo-Dolls
Here Is Gone,Goo Goo Dolls,04.06.02,29,12 Wks,05.18.02,Goo-Goo-Dolls
Black Balloon,Goo Goo Dolls,07.17.99,28,12 Wks,08.21.99,Goo-Goo-Dolls
Flat Top,Goo Goo Dolls,08.05.95,38,12 Wks,08.12.95,Goo-Goo-Dolls
Cover Me,Bruce Springsteen,06.23.84,2,12 Wks,09.08.84,Bruce-Springsteen-&-the-E-Street-Band
Born In The USA,Bruce Springsteen,06.23.84,8,12 Wks,12.22.84,Bruce-Springsteen-&-the-E-Street-Band
Tunnel Of Love,Bruce Springsteen,10.17.87,1,4 WKS,11.21.87,Bruce-Springsteen-&-the-E-Street-Band
Dancing In The Dark,Bruce Springsteen,05.26.84,1,6 WKS,06.09.84,Bruce-Springsteen-&-the-E-Street-Band
One Step Up,Bruce Springsteen,12.12.87,2,12 Wks,01.30.88,Bruce-Springsteen-&-the-E-Street-Band
No Surrender,Bruce Springsteen,06.16.84,29,12 Wks,08.04.84,Bruce-Springsteen-&-the-E-Street-Band
Fire,Bruce Springsteen,11.22.86,14,12 Wks,01.10.87,Bruce-Springsteen-&-the-E-Street-Band
Glory Days,Bruce Springsteen,05.25.85,3,12 Wks,06.15.85,Bruce-Springsteen-&-the-E-Street-Band
I'm On Fire,Bruce Springsteen,02.16.85,4,12 Wks,03.23.85,Bruce-Springsteen-&-the-E-Street-Band
Pink Cadillac,Bruce Springsteen,06.02.84,27,12 Wks,06.09.84,Bruce-Springsteen-&-the-E-Street-Band
Spare Parts,Bruce Springsteen,10.17.87,28,12 Wks,10.17.87,Bruce-Springsteen-&-the-E-Street-Band
All That Heaven Will Allow,Bruce Springsteen,02.27.88,5,12 Wks,04.09.88,Bruce-Springsteen-&-the-E-Street-Band
The Rising,Bruce Springsteen,07.20.02,24,12 Wks,08.10.02,Bruce-Springsteen-&-the-E-Street-Band
Trapped,Bruce Springsteen,04.13.85,1,3 WKS,05.11.85,Bruce-Springsteen-&-the-E-Street-Band
ATLANTIC CITY,Bruce Springsteen,10.09.82,10,12 Wks,10.30.82,Bruce-Springsteen-&-the-E-Street-Band
OPEN ALL NIGHT,Bruce Springsteen,10.09.82,22,12 Wks,10.16.82,Bruce-Springsteen-&-the-E-Street-Band
War,Bruce Springsteen,11.22.86,4,12 Wks,12.13.86,Bruce-Springsteen-&-the-E-Street-Band
Human Touch,Bruce Springsteen,03.21.92,1,3 WKS,03.21.92,Bruce-Springsteen-&-the-E-Street-Band
57 Channels (And Nothin' On),Bruce Springsteen,04.11.92,6,12 Wks,07.04.92,Bruce-Springsteen-&-the-E-Street-Band
Because The Night,Bruce Springsteen,12.06.86,22,12 Wks,01.10.87,Bruce-Springsteen-&-the-E-Street-Band
I'm Goin' Down,Bruce Springsteen,09.07.85,9,12 Wks,09.28.85,Bruce-Springsteen-&-the-E-Street-Band
My Hometown,Bruce Springsteen,12.14.85,6,12 Wks,01.11.86,Bruce-Springsteen-&-the-E-Street-Band
Bobby Jean,Bruce Springsteen,06.23.84,36,12 Wks,08.04.84,Bruce-Springsteen-&-the-E-Street-Band
Brilliant Disguise,Bruce Springsteen,10.03.87,1,1 WKS,10.17.87,Bruce-Springsteen-&-the-E-Street-Band
Stand On It,Bruce Springsteen,07.06.85,32,12 Wks,08.03.85,Bruce-Springsteen-&-the-E-Street-Band
Roll Of The Dice,Bruce Springsteen,04.25.92,6,12 Wks,05.23.92,Bruce-Springsteen-&-the-E-Street-Band
Murder Incorporated,Bruce Springsteen,03.04.95,14,12 Wks,04.01.95,Bruce-Springsteen-&-the-E-Street-Band
Streets Of Philadelphia,Bruce Springsteen,02.12.94,25,12 Wks,03.05.94,Bruce-Springsteen-&-the-E-Street-Band
Raise Your Hand,Bruce Springsteen,12.20.86,44,12 Wks,12.27.86,Bruce-Springsteen-&-the-E-Street-Band
Chimes Of Freedom,Bruce Springsteen,09.17.88,16,12 Wks,10.01.88,Bruce-Springsteen-&-the-E-Street-Band
Better Days,Bruce Springsteen,03.21.92,2,12 Wks,03.21.92,Bruce-Springsteen-&-the-E-Street-Band
I Wanna Be With You,Bruce Springsteen,12.05.98,33,12 Wks,12.12.98,Bruce-Springsteen-&-the-E-Street-Band
Leap Of Faith,Bruce Springsteen,08.29.92,28,12 Wks,09.05.92,Bruce-Springsteen-&-the-E-Street-Band
Roulette,Bruce Springsteen,04.16.88,45,12 Wks,04.23.88,Bruce-Springsteen-&-the-E-Street-Band
All Or Nothin' At All,Bruce Springsteen,04.11.92,47,12 Wks,04.11.92,Bruce-Springsteen-&-the-E-Street-Band
Fade Away,Bruce Springsteen,03.21.81,14,12 Wks,03.21.81,Bruce-Springsteen-&-the-E-Street-Band
JOHNNY '99,Bruce Springsteen,10.09.82,50,12 Wks,10.09.82,Bruce-Springsteen-&-the-E-Street-Band
Cadillac Ranch,Bruce Springsteen,03.28.81,48,12 Wks,03.28.81,Bruce-Springsteen-&-the-E-Street-Band
I'm A Rocker,Bruce Springsteen,03.21.81,42,12 Wks,03.21.81,Bruce-Springsteen-&-the-E-Street-Band
Point Blank,Bruce Springsteen,04.04.81,20,12 Wks,04.04.81,Bruce-Springsteen-&-the-E-Street-Band
Ramrod,Bruce Springsteen,04.11.81,30,12 Wks,04.11.81,Bruce-Springsteen-&-the-E-Street-Band
Be True,Bruce Springsteen,03.28.81,42,12 Wks,03.28.81,Bruce-Springsteen-&-the-E-Street-Band
Come As You Are,Peter Wolf,02.28.87,1,1 WKS,03.28.87,Peter-Wolf
Lights Out,Peter Wolf,07.14.84,6,12 Wks,08.04.84,Peter-Wolf
I Need You Tonight,Peter Wolf,10.20.84,22,12 Wks,11.10.84,Peter-Wolf
Can't Get Started,Peter Wolf,04.18.87,16,12 Wks,05.16.87,Peter-Wolf
Crazy,Peter Wolf,08.18.84,26,12 Wks,09.22.84,Peter-Wolf
99 Worlds,Peter Wolf,02.24.90,9,12 Wks,03.17.90,Peter-Wolf
Rock N Roll Train,AC/DC,09.13.08,1,3 WKS,11.29.08,AC/DC
Hard As A Rock,AC/DC,09.23.95,1,3 WKS,10.14.95,AC/DC
Stiff Upper Lip,AC/DC,02.19.00,1,4 WKS,03.11.00,AC/DC
Satellite Blues,AC/DC,06.03.00,7,12 Wks,07.01.00,AC/DC
Rock Or Bust,AC/DC,12.13.14,8,12 Wks,04.04.15,AC/DC
Shot In The Dark,AC/DC,10.17.20,1,5 WKS,11.14.20,AC/DC
Big Gun,AC/DC,06.05.93,1,2 WKS,07.03.93,AC/DC
Big Jack,AC/DC,01.03.09,10,12 Wks,03.21.09,AC/DC
Realize,AC/DC,01.23.21,8,12 Wks,03.20.21,AC/DC
For Those About To Rock (We Salute You),AC/DC,12.05.81,4,12 Wks,01.30.82,AC/DC
Moneytalks,AC/DC,11.10.90,3,12 Wks,01.26.91,AC/DC
Dirty Deeds Done Dirt Cheap,AC/DC,04.11.81,4,12 Wks,05.09.81,AC/DC
Play Ball,AC/DC,10.25.14,5,12 Wks,11.15.14,AC/DC
Dirty Eyes,AC/DC,11.01.97,6,12 Wks,11.15.97,AC/DC
Cover You In Oil,AC/DC,12.02.95,9,12 Wks,01.27.96,AC/DC
Let's Get It Up,AC/DC,12.19.81,9,12 Wks,01.30.82,AC/DC
Put The Finger On You,AC/DC,12.19.81,38,12 Wks,01.16.82,AC/DC
Heatseeker,AC/DC,02.06.88,20,12 Wks,03.12.88,AC/DC
Who Made Who,AC/DC,05.31.86,23,12 Wks,07.19.86,AC/DC
Safe In New York City,AC/DC,03.31.01,21,12 Wks,05.12.01,AC/DC
Jail Break,AC/DC,11.03.84,33,12 Wks,11.24.84,AC/DC
Thunderstruck,AC/DC,09.29.90,5,12 Wks,10.20.90,AC/DC
